Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_105.jpg;-2.015686;0;0;0;99.66999;85.58897;0.0002364218;56.64319;7.011037E-07
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_154.jpg;-5.00451;0;0;0;99.66999;85.58897;0.0002371528;56.16142;2.309401E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_204.jpg;-8.019005;0;0;0;99.66999;85.58897;0.0002371261;54.89856;7.669268E-06
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_254.jpg;-11.00799;0;0;0;99.66999;85.58897;0.000237202;53.69704;1.223222E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_304.jpg;-14.02178;0;0;0;99.66999;85.58897;0.0002377357;51.35318;2.042681E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_355.jpg;-15;0;0;0;99.66999;85.58897;0.0002370447;49.55319;2.573891E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_405.jpg;-15;0;0;0;99.66999;85.58897;0.000236699;46.85324;3.362594E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_454.jpg;-15;0;0;0;99.66999;85.58897;0.0002362274;45.05326;3.835683E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_504.jpg;-15;0;0;0;99.66999;85.58897;0.0002361329;42.35331;4.359779E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_554.jpg;-15;0;0;0;99.66999;85.58897;0.0002363438;40.55333;4.578859E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_604.jpg;-15;0;0;0;99.66999;85.58897;0.000235464;37.91302;4.830888E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_654.jpg;-12.99204;0;0;0;99.66999;85.58897;0.0002362833;36.23352;4.889229E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_704.jpg;-10.00484;0;0;0;99.66999;85.58897;0.0002369858;34.25306;4.680324E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_754.jpg;-6.993671;0;0;0;99.66999;85.58897;0.0002376344;33.29245;4.38367E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_804.jpg;-3.980677;0;0;0;99.66999;85.58897;0.0002396103;32.3928;3.687209E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_854.jpg;-3.011721;0;0;0;99.66999;85.58897;0.0002413964;32.03317;3.135792E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_904.jpg;-4.013329;0;0;0;99.66999;85.58897;0.0002418208;31.4905;2.2548E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_35_954.jpg;-6.015694;0;0;0;99.66999;85.58897;0.0002430914;30.8888;1.816596E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_004.jpg;-9.023111;0;0;0;99.66999;85.58897;0.0002447741;29.44454;1.339618E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_054.jpg;-12.01966;0;0;0;99.66999;85.58897;0.0002457361;28.12094;1.366655E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_104.jpg;-15;0;0;0;99.66999;85.58897;0.00024686;25.59946;1.395085E-05
C:\Users\Ross\RoboND-Python-StarterKit\RoboND-Rover-Project\IMG\robocam_2017_08_28_22_28_36_155.jpg;-15;0;0;0;99.67;85.58897;0.0002471241;23.79945;1.421219E-05
